detection_score,elapsed_s,median_delta_u_px,median_delta_v_px,median_joint_error_px,mode,projection_model,recording,sample_index,side,time_shift_ms,video_frame_index
0.6514718532562256,1.0162080000009155,-16.05076055233883,98.71039630894404,101.33366950729759,direct,eucm,ego带tof,0,left_hand,0.0,61
0.9877557754516602,1.0162080000009155,30.712833961205888,7.875065579667535,42.481310442874694,direct,eucm,ego带tof,0,right_hand,0.0,61
0.8357504606246948,1.2660550000000512,-16.400045987283477,98.27341960601586,100.91823280109118,direct,eucm,ego带tof,1,left_hand,0.0,76
0.9746226668357849,1.2660550000000512,16.426761305635182,-26.263380695415435,39.20206981475885,direct,eucm,ego带tof,1,right_hand,0.0,76
0.9226356744766235,1.5159239999993588,-15.712329389527213,93.26607622294046,96.63946633793161,direct,eucm,ego带tof,2,left_hand,0.0,91
0.9762072563171387,1.5159239999993588,1.981264874877752,-43.54845677059666,46.52443583494356,direct,eucm,ego带tof,2,right_hand,0.0,91
0.6076048612594604,1.7657900000012887,-14.610111738479986,91.67372879637799,94.16003861845012,direct,eucm,ego带tof,3,left_hand,0.0,106
0.9601686000823975,1.7657900000012887,0.04200150006181502,-24.26012961457627,29.788232913135747,direct,eucm,ego带tof,3,right_hand,0.0,106
0.8218392133712769,2.0157230000004347,-13.544209883143822,90.4423827180351,92.89292049813105,direct,eucm,ego带tof,4,left_hand,0.0,121
0.9621993899345398,2.0157230000004347,1.510259798802963,-13.8135675348002,20.931712682148223,direct,eucm,ego带tof,4,right_hand,0.0,121
0.846406877040863,2.265547000002698,-14.711815517718605,91.04810718649628,93.6979174182619,direct,eucm,ego带tof,5,left_hand,0.0,136
0.9906699061393738,2.265547000002698,0.8362310447815844,-8.075523367694359,9.946972838205635,direct,eucm,ego带tof,5,right_hand,0.0,136
0.7290077805519104,2.5154309999998077,-14.353834880884904,90.99629492297356,93.34770368780347,direct,eucm,ego带tof,6,left_hand,0.0,151
0.8862011432647705,2.5154309999998077,-1.902552432217135,-4.67976911907499,7.579278919495912,direct,eucm,ego带tof,6,right_hand,0.0,151
0.8305389285087585,2.7653150000005553,-14.239202306157836,91.53499726599648,93.9016731028901,direct,eucm,ego带tof,7,left_hand,0.0,166
0.8746105432510376,2.7653150000005553,0.9688597276482369,-6.827312552191756,7.660228114716019,direct,eucm,ego带tof,7,right_hand,0.0,166
0.8676229119300842,3.0151810000024852,-14.696692800711617,91.92958877905642,94.52294574692618,direct,eucm,ego带tof,8,left_hand,0.0,181
0.9360130429267883,3.0151810000024852,3.3952000898843835,-16.845004980700878,18.516526335868804,direct,eucm,ego带tof,8,right_hand,0.0,181
0.925102710723877,3.265078000000358,-14.560890814035702,90.6042249788843,93.64528470440185,direct,eucm,ego带tof,9,left_hand,0.0,196
0.9538155794143677,3.265078000000358,7.676905364036202,-20.88986660120429,22.902497251868585,direct,eucm,ego带tof,9,right_hand,0.0,196
0.7406121492385864,3.514936999999918,-14.412335139614243,94.04237956520899,96.38844215524504,direct,eucm,ego带tof,10,left_hand,0.0,211
0.9548575282096863,3.514936999999918,9.052512528496777,-19.697333922822963,22.31484784422748,direct,eucm,ego带tof,10,right_hand,0.0,211
0.9535417556762695,3.7647969999998168,-17.62310368367116,81.90205868811984,87.28993383300137,direct,eucm,ego带tof,11,left_hand,0.0,226
0.937639594078064,3.7647969999998168,5.749502838211129,-22.143623289806783,24.443993041458796,direct,eucm,ego带tof,11,right_hand,0.0,226
0.9108502268791199,4.014654000002338,-34.97503562364,51.41469021190676,69.31128798676409,direct,eucm,ego带tof,12,left_hand,0.0,241
0.9586971998214722,4.014654000002338,7.519275689075926,-22.22370233460572,24.423252906019197,direct,eucm,ego带tof,12,right_hand,0.0,241
0.8324170112609863,4.264524000001984,-45.325066719273366,6.8904958266390395,49.52265677122429,direct,eucm,ego带tof,13,left_hand,0.0,256
0.9639177918434143,4.264524000001984,8.406787730790938,-21.285720509379075,23.525202300046065,direct,eucm,ego带tof,13,right_hand,0.0,256
0.6919918060302734,4.514390000000276,-30.228226144448172,-13.185200771794257,39.702965172921736,direct,eucm,ego带tof,14,left_hand,0.0,271
0.9565480947494507,4.514390000000276,5.889808353844273,-21.015594823469087,21.989155804367673,direct,eucm,ego带tof,14,right_hand,0.0,271
0.5923431515693665,4.764251000000513,-20.467158668431807,-5.13176018999593,28.34100607052719,direct,eucm,ego带tof,15,left_hand,0.0,286
0.9284804463386536,4.764251000000513,2.991796649357866,-21.399791124711896,21.93626467645026,direct,eucm,ego带tof,15,right_hand,0.0,286
0.6153179407119751,5.01409699999931,-17.26084654938711,5.1616914685977235,18.640395378811924,direct,eucm,ego带tof,16,left_hand,0.0,301
0.9581605195999146,5.01409699999931,5.911959290055279,-19.512695131940745,19.955801083027467,direct,eucm,ego带tof,16,right_hand,0.0,301
0.8287489414215088,5.263964000001579,-11.683082376820153,8.261103675232562,18.27530014455497,direct,eucm,ego带tof,17,left_hand,0.0,316
0.9555438756942749,5.263964000001579,5.395268217891953,-18.52633482397505,19.082002467798848,direct,eucm,ego带tof,17,right_hand,0.0,316
0.9465999603271484,5.5138350000015635,4.1939436766276685,-18.55624123879943,20.347788708449805,direct,eucm,ego带tof,18,right_hand,0.0,331
0.9615907073020935,5.763681000000361,-0.08650349199479024,-23.817404885796464,24.586252751409244,direct,eucm,ego带tof,19,right_hand,0.0,346
0.5192209482192993,6.013559000002715,-12.069683898428593,-30.70020462103446,34.717351348077045,direct,eucm,ego带tof,20,left_hand,0.0,361
0.9468889236450195,6.013559000002715,4.147861364041773,-20.835996191934896,22.297156412338587,direct,eucm,ego带tof,20,right_hand,0.0,361
